Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-01-01,NIFTYBEES,EQ,594.57,595.95,604.8,595.95,603.0,602.15,600.85,51854,3115638324000.0,2419,39869,0.7689
2013-01-02,NIFTYBEES,EQ,602.15,603.5,604.7,602.53,603.0,603.56,603.4,135640,8184502563000.0,1238,113469,0.8365
2013-01-03,NIFTYBEES,EQ,603.56,604.0,607.0,603.0,604.8,604.73,604.64,55935,3382079928000.0,987,47906,0.8565
2013-01-04,NIFTYBEES,EQ,604.73,604.7,606.25,602.0,605.01,605.65,604.31,44729,2702997158000.0,1402,31664,0.7079000000000001
2013-01-07,NIFTYBEES,EQ,605.65,605.11,606.95,602.61,603.8,603.21,604.95,25452,1539717814000.0,1666,20352,0.7996
2013-01-08,NIFTYBEES,EQ,603.21,603.2,605.0,601.0,603.95,604.23,603.07,48755,2940283346000.0,1128,38248,0.7845000000000001
2013-01-09,NIFTYBEES,EQ,604.23,606.0,606.0,600.0,600.52,601.32,604.26,53553,3236007393000.0,1435,44518,0.8312999999999999
2013-01-10,NIFTYBEES,EQ,601.32,603.0,604.72,599.5,600.0,600.61,601.24,54564,3280586244000.0,1025,37577,0.6887000000000001
2013-01-11,NIFTYBEES,EQ,600.61,601.0,604.85,598.5,598.5,599.27,601.4,65414,3934028707000.0,1188,57554,0.8798
2013-01-14,NIFTYBEES,EQ,599.27,600.0,610.4,599.11,609.8,607.22,605.39,56132,3398155174000.0,1049,47671,0.8493
2013-01-15,NIFTYBEES,EQ,607.22,607.6,611.0,605.27,610.02,609.98,608.87,52950,3223966720000.0,1727,41879,0.7909
2013-01-16,NIFTYBEES,EQ,609.98,609.01,609.89,605.0,606.5,606.45,607.5,40999,2490678297000.0,1055,33386,0.8143000000000001
2013-01-17,NIFTYBEES,EQ,606.45,608.0,609.2,603.75,607.01,607.95,607.16,44723,2715399193000.0,700,39717,0.8881
2013-01-18,NIFTYBEES,EQ,607.95,609.0,614.7,609.0,610.0,610.52,611.43,68884,4211748892000.0,1598,58028,0.8423999999999999
2013-01-21,NIFTYBEES,EQ,610.52,611.0,615.0,610.05,614.0,614.37,612.93,50128,3072471503000.0,2163,39305,0.7841
2013-01-22,NIFTYBEES,EQ,614.37,614.0,614.5,608.03,608.11,608.96,612.33,60189,3685545654000.0,764,49657,0.8250000000000001
2013-01-23,NIFTYBEES,EQ,608.96,609.0,612.1,606.0,611.5,610.82,609.64,107984,6583163128000.0,1520,73123,0.6772
2013-01-24,NIFTYBEES,EQ,610.82,610.0,610.2,605.4,607.0,606.1,607.99,63671,3871123431000.0,1188,41094,0.6454000000000001
2013-01-25,NIFTYBEES,EQ,606.1,591.21,611.98,591.21,611.75,611.44,609.28,57243,3487714593000.0,944,46650,0.8149
2013-01-28,NIFTYBEES,EQ,611.44,612.0,613.0,610.23,612.0,612.69,611.87,57893,3542310802000.0005,1010,48107,0.831
