Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-01-01,TATASTEEL,EQ,428.5,431.9,440.0,431.35,438.95,438.2,436.73,3104413,135580409150000.0,45350,899224,0.2897
2013-01-02,TATASTEEL,EQ,438.2,442.5,443.75,436.8,437.2,438.15,441.05,2596827,114532073165000.02,38773,890690,0.34299999999999997
2013-01-03,TATASTEEL,EQ,438.15,440.0,444.6,438.85,442.3,442.3,442.04,3284052,145168011675000.0,75718,1554163,0.4732
2013-01-04,TATASTEEL,EQ,442.3,441.0,441.0,430.0,433.55,433.5,434.01,3645031,158198023335000.0,51746,1610303,0.4418
2013-01-07,TATASTEEL,EQ,433.5,434.9,448.0,430.2,437.9,440.9,439.6,6852132,301220624875000.0,79064,2028913,0.2961
2013-01-08,TATASTEEL,EQ,440.9,439.8,440.05,430.1,433.2,433.35,433.79,3776387,163816551710000.0,56419,1060942,0.2809
2013-01-09,TATASTEEL,EQ,433.35,434.05,435.55,421.0,421.7,422.3,427.54,7470052,319377390945000.0,80929,3925104,0.5254
2013-01-10,TATASTEEL,EQ,422.3,424.95,426.85,418.25,419.55,420.5,422.05,4800696,202613403390000.0,91737,1737914,0.36200000000000004
2013-01-11,TATASTEEL,EQ,420.5,420.5,424.8,415.6,416.1,417.3,420.34,3351598,140881705020000.0,51510,835300,0.24920000000000003
2013-01-14,TATASTEEL,EQ,417.3,418.1,424.5,413.35,424.25,423.8,419.85,2788104,117057897809999.98,54197,771734,0.2768
2013-01-15,TATASTEEL,EQ,423.8,423.55,427.85,421.15,425.1,424.8,425.0,2983684,126805646445000.0,60558,1003127,0.3362
2013-01-16,TATASTEEL,EQ,424.8,421.5,423.7,413.6,415.05,414.95,418.67,2370957,99265431335000.0,35449,705136,0.2974
2013-01-17,TATASTEEL,EQ,414.95,411.35,420.5,408.85,419.0,418.7,415.1,4200789,174375799295000.0,66579,1263398,0.3008
2013-01-18,TATASTEEL,EQ,418.7,419.6,423.0,413.4,414.0,415.0,417.59,2706783,113031650475000.0,51427,638048,0.23570000000000002
2013-01-21,TATASTEEL,EQ,415.0,415.0,419.05,411.5,413.9,414.1,414.74,2550353,105773090705000.0,35732,673740,0.26420000000000005
2013-01-22,TATASTEEL,EQ,414.1,414.1,419.3,407.15,409.2,408.7,413.09,2556551,105609831380000.0,41983,730411,0.2857
2013-01-23,TATASTEEL,EQ,408.7,410.4,413.65,402.6,408.45,407.55,407.99,3093131,126196701730000.0,57204,850447,0.2749
2013-01-24,TATASTEEL,EQ,407.55,408.6,411.9,402.75,404.7,404.5,407.33,3137965,127817183750000.0,48493,794387,0.2532
2013-01-25,TATASTEEL,EQ,404.5,404.7,408.25,398.55,407.2,406.75,403.98,3390418,136967052959999.98,50398,752730,0.222
2013-01-28,TATASTEEL,EQ,406.75,407.7,410.4,404.65,405.1,405.65,407.29,2801911,114117689745000.0,43657,606185,0.2163
2013-01-29,TATASTEEL,EQ,405.65,405.8,411.4,397.1,397.75,399.0,404.62,3858378,156115950030000.0,61620,1055182,0.2735
2013-01-30,TATASTEEL,EQ,399.0,400.95,408.5,399.6,407.25,406.25,404.99,3481063,140978521060000.0,45775,1312907,0.3772
2013-01-31,TATASTEEL,EQ,406.25,405.0,407.1,401.45,407.1,404.9,404.03,2973740,120149360090000.02,44408,1127887,0.3793
2013-02-01,TATASTEEL,EQ,404.9,406.6,411.7,399.55,400.7,400.85,405.7,3255030,132057684920000.0,43296,1105147,0.3395
2013-02-04,TATASTEEL,EQ,400.85,403.0,404.45,394.15,395.35,395.05,399.7,3801163,151934308480000.0,60054,1830718,0.4816
2013-02-05,TATASTEEL,EQ,395.05,392.0,397.9,391.6,396.8,394.75,395.6,2919023,115477448580000.0,53622,1164877,0.39909999999999995
2013-02-06,TATASTEEL,EQ,394.75,396.4,402.8,396.4,396.7,397.45,399.44,3475443,138824787159999.98,49749,1128858,0.3248
2013-02-07,TATASTEEL,EQ,397.45,397.5,398.0,389.6,390.25,390.4,392.86,2676047,105131072450000.0,43640,920316,0.34390000000000004
2013-02-08,TATASTEEL,EQ,390.4,390.85,393.95,385.0,385.65,387.45,390.37,2988650,116668885150000.0,44807,1128981,0.3778
2013-02-11,TATASTEEL,EQ,387.45,390.05,390.4,384.05,384.35,384.8,386.17,2602408,100497989185000.0,52878,942670,0.3622
2013-02-12,TATASTEEL,EQ,384.8,385.1,387.5,382.2,384.5,384.9,384.73,2497948,96104094030000.0,37392,901524,0.36090000000000005
2013-02-13,TATASTEEL,EQ,384.9,385.1,387.7,375.1,375.3,376.0,381.23,4003991,152642621105000.0,61717,1076244,0.2688
2013-02-14,TATASTEEL,EQ,376.0,370.0,382.5,368.3,381.6,380.9,377.74,7140390,269719169555000.03,82054,2095487,0.29350000000000004
2013-02-15,TATASTEEL,EQ,380.9,378.0,382.3,371.8,376.05,376.1,376.28,3595803,135301289130000.0,51355,819784,0.228
2013-02-18,TATASTEEL,EQ,376.1,376.05,387.0,374.55,386.9,385.25,382.16,3763762,143835576780000.0,55167,915008,0.24309999999999998
2013-02-19,TATASTEEL,EQ,385.25,386.0,388.8,380.1,388.5,386.7,384.14,2639752,101403904035000.0,38766,510162,0.1933
2013-02-20,TATASTEEL,EQ,386.7,387.9,388.85,378.1,378.45,379.25,383.43,4103236,157331931750000.0,69942,1798710,0.43840000000000007
2013-02-21,TATASTEEL,EQ,379.25,375.85,375.85,363.5,363.7,363.9,368.39,5800017,213665462690000.0,105616,2553892,0.4403
2013-02-22,TATASTEEL,EQ,363.9,364.2,367.9,360.7,365.0,364.5,365.02,4945470,180521171440000.0,73947,2054829,0.4155
2013-02-25,TATASTEEL,EQ,364.5,365.75,368.4,359.75,361.6,360.7,363.62,3244738,117985373720000.0,51675,890397,0.27440000000000003
2013-02-26,TATASTEEL,EQ,360.7,360.0,360.2,348.5,348.55,349.45,352.85,4507193,159035277650000.0,74193,1687211,0.3743
2013-02-27,TATASTEEL,EQ,349.45,350.65,358.2,346.25,356.8,357.1,353.41,4715022,166635162710000.0,67208,1645001,0.3489
2013-02-28,TATASTEEL,EQ,357.1,359.05,360.5,338.0,345.15,341.5,346.63,7020141,243338107500000.0,89010,2990454,0.42600000000000005
2013-03-01,TATASTEEL,EQ,341.5,341.8,347.6,340.05,341.35,341.1,344.01,3219628,110759940045000.0,53383,1120725,0.3481
