,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
0,2013-01-01,UNIONBANK,EQ,274.35,275.95,283.35,275.9,282.15,281.3,280.9,2036242,57197588765000.0,18547,893761,0.4389
1,2013-01-02,UNIONBANK,EQ,281.3,282.35,288.0,277.4,277.5,278.6,282.64,2491917,70432460550000.0,27884,1153702,0.4629999999999999
2,2013-01-03,UNIONBANK,EQ,278.6,279.0,282.0,274.2,276.25,276.9,278.0,1501030,41729038200000.0,17138,482512,0.3215
3,2013-01-04,UNIONBANK,EQ,276.9,285.9,285.9,274.6,278.0,277.85,277.16,1530576,42421876680000.0,25402,604458,0.3949
4,2013-01-07,UNIONBANK,EQ,277.85,278.35,281.2,273.0,273.35,274.7,277.25,1877855,52063319770000.0,21902,1144694,0.6096
5,2013-01-08,UNIONBANK,EQ,274.7,274.05,278.2,273.15,275.95,275.75,275.64,1815803,50050490300000.0,21499,781355,0.4303
6,2013-01-09,UNIONBANK,EQ,275.75,275.55,277.9,270.75,271.4,271.65,274.04,1133260,31056189915000.0,13392,468157,0.4131
7,2013-01-10,UNIONBANK,EQ,271.65,273.3,275.05,264.0,266.2,267.05,268.03,2072473,55547752354999.99,30338,867708,0.4186999999999999
8,2013-01-11,UNIONBANK,EQ,267.05,268.0,273.65,256.25,258.85,258.15,260.98,1923213,50192917305000.0,25791,904540,0.4703
9,2013-01-14,UNIONBANK,EQ,258.15,257.0,273.4,253.65,273.4,271.7,264.98,2410417,63870476929999.99,42783,962946,0.3995
10,2013-01-15,UNIONBANK,EQ,271.7,272.9,273.9,267.3,269.5,269.3,270.55,1612861,43636139285000.0,18691,705819,0.4376
11,2013-01-16,UNIONBANK,EQ,269.3,263.0,270.45,259.75,261.2,261.2,265.09,1631826,43258878675000.0,24399,773092,0.4738
12,2013-01-17,UNIONBANK,EQ,261.2,262.25,268.4,260.1,264.85,265.05,264.18,1157177,30570021525000.0,26952,365485,0.3157999999999999
13,2013-01-18,UNIONBANK,EQ,265.05,266.75,272.8,263.0,268.25,267.6,269.21,1898613,51111752705000.0,24596,748917,0.3945
14,2013-01-21,UNIONBANK,EQ,267.6,270.0,270.9,264.8,269.0,268.7,268.12,998145,26762531780000.0,14575,293720,0.2943
15,2013-01-22,UNIONBANK,EQ,268.7,268.6,273.25,260.35,261.2,261.55,266.54,1254352,33433640165000.0,20454,364457,0.2905999999999999
16,2013-01-23,UNIONBANK,EQ,261.55,263.6,264.9,249.6,254.95,254.6,256.39,1332338,34159446145000.0,18995,313859,0.2356
17,2013-01-24,UNIONBANK,EQ,254.6,252.0,254.8,244.6,245.2,245.6,248.63,1397621,34749525005000.0,26084,434242,0.3107
18,2013-01-25,UNIONBANK,EQ,245.6,240.0,254.75,240.0,254.15,253.2,249.66,1380385,34462032025000.0,23666,299375,0.2169
19,2013-01-28,UNIONBANK,EQ,253.2,255.0,256.25,247.1,249.0,248.45,251.07,1447718,36347472935000.0,27018,567059,0.3917
20,2013-01-29,UNIONBANK,EQ,248.45,251.95,257.5,244.6,248.75,249.05,250.89,4956425,124349621325000.0,58458,2096867,0.4231
21,2013-01-30,UNIONBANK,EQ,249.05,250.55,251.45,239.25,240.3,240.85,243.68,2009915,48976914360000.0,41494,647137,0.322
22,2013-01-31,UNIONBANK,EQ,240.85,240.85,257.85,240.5,257.0,255.05,251.07,9327979,234193818085000.0,83818,1873607,0.2009
23,2013-02-01,UNIONBANK,EQ,255.05,256.5,257.05,247.8,249.7,249.0,251.45,1912049,48079297930000.0,20727,593337,0.3103
